,,,,,,,,,,,,,,,
,A,B,C,D,E,,,,,,,,,,
A,0,7,9,8,20,,,,,,,,,,
B,7,0,10,4,11,,,,,,,,,,
C,9,10,0,15,5,,,,,,,,,,
D,8,4,15,0,17,,,,,,,,,,
E,20,11,5,8,0,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1 GENERACION,,,,,,F(x),,,,,,,,
,A,B,C,D,E,,69,,,,,,,,
,A,E,D,B,C,,51,,,,,,,,
,,,,,,,,,,,,,,,
,CRUCE n=3,,,,,,,,,,,,,,
,A,B,D,B,C,,,,,,,,,,
,A,E,C,D,E,,,,,,,,,,
,,,,,,,,,,,,,,,
,MEJORA,,,,,,,,,,,,,,
,A,B,D,E,C,,,,,,,,,,
,A,E,C,D,B,,,,,,,,,,
,,,,,,,,,,,,,,,
,MUTACION n=3,n=4,,,,,,,CAMINOS,,,,,,F(x)
,A,B,D,A,C,,,,A,B,D,A,C,,37
,A,E,C,E,B,,,,A,E,C,E,B,,52
,,,,,,,,,,,,,,,
,A,B,D,B,C,,,,A,B,D,B,C,,34
,A,E,C,A,B,,,,A,E,C,A,B,,48
,,,,,,,,,,,,,,,
,A,B,D,A,C,,,,A,B,D,A,C,,37
,A,E,C,A,B,,,,A,E,C,A,B,,48